season;player_name;age;market_value[EUR];team_left;team_joined;transfer_fee[EUR]
19/20;Daniel Podence;24;6000000;Olympiacos;Wolves;19600000
19/20;Merih Demiral;21;15000000;Sassuolo;Juventus;19500000
19/20;Sofyan Amrabat;23;10000000;Hellas Verona;Fiorentina;19500000
19/20;Dennis Praet;25;24000000;Sampdoria;Leicester;19200000
19/20;Oliver McBurnie;23;8000000;Swansea;Sheff Utd;19100000
19/20;Yusuf Yazici;22;13000000;Trabzonspor;LOSC Lille;18500000
19/20;Salomon Rondon;29;15000000;West Brom;DL Pro;18270000
19/20;Pablo Sarabia;27;40000000;Sevilla FC;Paris SG;18000000
19/20;Patrick Cutrone;21;28000000;AC Milan;Wolves;18000000
19/20;Allan Saint-Maximin;22;25000000;OGC Nice;Newcastle;18000000
19/20;Ademola Lookman;21;20000000;Everton;RB Leipzig;18000000
19/20;Guillermo Maripan;25;15000000;Alaves;Monaco;18000000
19/20;Aurelien Tchouameni;20;14000000;G. Bordeaux;Monaco;18000000
19/20;Matheus Cunha;20;13000000;RB Leipzig;Hertha BSC;18000000
19/20;Martin Braithwaite;28;10000000;CD Leganes;Barcelona;18000000
19/20;Guus Til;21;6000000;AZ Alkmaar;Spartak Moscow;18000000
19/20;Pedro Neto;19;2500000;Lazio;Wolves;17900000
19/20;Daniel James;21;12000000;Swansea;Man Utd;17800000
19/20;Gabriel;23;23000000;Inter;Flamengo;17500000
