season;player_name;age;market_value[EUR];team_left;team_joined;transfer_fee[EUR]
21/22;Emiliano Buendia;24;35000000;Norwich;Aston Villa;38400000
21/22;Martin Odegaard;22;40000000;Real Madrid;Arsenal;35000000
21/22;Rodrigo de Paul;27;38000000;Udinese Calcio;Atletico Madrid;35000000
21/22;Kurt Zouma;26;32000000;Chelsea;West Ham;35000000
21/22;Leon Bailey;24;35000000;B. Leverkusen;Aston Villa;32000000
21/22;Fikayo Tomori;23;28000000;Chelsea;AC Milan;31600000
21/22;Eduardo Camavinga;18;55000000;Rennes;Real Madrid;31000000
21/22;Donyell Malen;22;30000000;PSV Eindhoven;Bor. Dortmund;30000000
21/22;Lucas Digne;28;30000000;Everton;Aston Villa;30000000
21/22;Nikola Vlasic;23;30000000;CSKA Moscow;West Ham;30000000
21/22;Matheus Cunha;22;30000000;Hertha BSC;Atletico Madrid;30000000
21/22;Patson Daka;22;22000000;RB Salzburg;Leicester;30000000
21/22;Chris Wood;30;6000000;Burnley;Newcastle;30000000
21/22;Danny Ings;29;22000000;Southampton;Aston Villa;29400000
21/22;Joe Willock;21;16000000;Arsenal;Newcastle;29400000
21/22;Daniel James;23;18000000;Man Utd;Leeds;29100000
21/22;Aaron Ramsdale;23;12000000;Sheff Utd;Arsenal;28000000
21/22;Marash Kumbulla;21;25000000;Hellas Verona;AS Roma;26500000
21/22;Bryan Gil;20;30000000;Sevilla FC;Tottenham;25000000
21/22;Emerson Royal;22;25000000;Barcelona;Tottenham;25000000
21/22;Yuri Alberto;20;12000000;Internacional;Zenit S-Pb;25000000
21/22;Nicolas Gonzalez;23;22000000;VfB Stuttgart;Fiorentina;24500000
21/22;Vitaliy Mykolenko;22;17000000;Dynamo Kyiv;Everton;23500000
21/22;Arnaut Danjuma;24;15000000;Bournemouth;Villarreal;23500000
21/22;Marc Guehi;21;10000000;Chelsea U23;Crystal Palace;23340000
21/22;Andre Silva;25;45000000;E. Frankfurt;RB Leipzig;23000000
21/22;Enock Mwepu;23;13000000;RB Salzburg;Brighton;23000000
21/22;Odilon Kossounou;20;13000000;Club Brugge;B. Leverkusen;23000000
21/22;Julian Alvarez;22;20000000;River Plate;Man City;21400000
21/22;Matteo Politano;27;30000000;Inter;SSC Napoli;21000000
21/22;Weston McKennie;22;25000000;FC Schalke 04;Juventus;20500000
21/22;Juan Musso;27;20000000;Udinese Calcio;Atalanta BC;20500000
21/22;Gerson;24;20000000;Flamengo;Marseille;20500000
21/22;Boubakary Soumare;22;28000000;LOSC Lille;Leicester;20000000
21/22;Jhon Cordoba;28;15000000;Hertha BSC;Krasnodar;20000000
21/22;Rodrigo Bentancur;24;25000000;Juventus;Tottenham;19000000
21/22;Josko Gvardiol;19;19000000;Dinamo Zagreb;RB Leipzig;18800000
21/22;Takehiro Tomiyasu;22;20000000;Bologna;Arsenal;18600000
21/22;Angelino;24;35000000;Man City;RB Leipzig;18000000
21/22;Marc Cucurella;23;20000000;Getafe;Brighton;18000000
21/22;Pedrinho;23;15000000;Benfica;Shakhtar D.;18000000
21/22;Matheus Pereira;25;15000000;West Brom;Al-Hilal SFC;18000000
21/22;Eldor Shomurodov;26;7000000;Genoa;AS Roma;18000000
21/22;Adam Armstrong;24;18000000;Blackburn;Southampton;17700000
21/22;Jannik Vestergaard;29;18000000;Southampton;Leicester;17600000
21/22;Joachim Andersen;25;22000000;Olympique Lyon;Crystal Palace;17500000
21/22;Wout Weghorst;29;20000000;VfL Wolfsburg;Burnley;17500000
21/22;Albert Sambi Lokonga;21;12000000;RSC Anderlecht;Arsenal;17500000
21/22;Cristiano Ronaldo;36;45000000;Juventus;Man Utd;17000000
21/22;Cristian Romero;23;35000000;Juventus;Atalanta BC;17000000
21/22;Roman Yaremchuk;25;17500000;KAA Gent;Benfica;17000000
21/22;Myron Boadu;20;14000000;AZ Alkmaar;Monaco;17000000
21/22;Loic Bade;21;12000000;Lens;Rennes;17000000
21/22;Kamaldeen Sulemana;19;9000000;Nordsjaelland;Rennes;17000000
21/22;Pape Matar Sarr;18;10000000;FC Metz;Tottenham;16900000
21/22;Ricardo Pepi;18;8000000;Dallas;FC Augsburg;16360000
21/22;Odsonne Edouard;23;17000000;Celtic;Crystal Palace;16300000
21/22;Zinho Vanheusden;21;12000000;Standard Liege;Inter;16200000
21/22;Ilaix Moriba;18;25000000;Barcelona B;RB Leipzig;16000000
21/22;Danilo Pereira;29;20000000;FC Porto;Paris SG;16000000
21/22;Hamed Junior Traore;21;20000000;FC Empoli;Sassuolo;16000000
21/22;Rafa Mir;24;12000000;Wolves;Sevilla FC;16000000
21/22;Kristoffer Ajer;23;7000000;Celtic;Brentford;15700000
21/22;Arthur Cabral;23;15000000;FC Basel;Fiorentina;15500000
21/22;Mike Maignan;26;25000000;LOSC Lille;AC Milan;15400000
21/22;Pepe;24;13000000;Gremio;FC Porto;15400000
21/22;Marcel Sabitzer;27;42000000;RB Leipzig;Bayern Munich;15000000
21/22;Mohamed Simakan;21;18000000;R. Strasbourg;RB Leipzig;15000000
21/22;Romain Faivre;23;15000000;Stade Brestois;Olympique Lyon;15000000
21/22;Gaetan Laborde;27;15000000;Montpellier;Rennes;15000000
21/22;Calvin Stengs;22;14000000;AZ Alkmaar;OGC Nice;15000000
21/22;Gregor Kobel;23;13000000;VfB Stuttgart;Bor. Dortmund;15000000
21/22;Benjamin Henrichs;24;12000000;Monaco;RB Leipzig;15000000
21/22;Maxwel Cornet;24;12000000;Olympique Lyon;Burnley;15000000
21/22;Juan Foyth;23;12000000;Tottenham;Villarreal;15000000
21/22;Junior Firpo;24;8000000;Barcelona;Leeds;15000000
21/22;Dan Burn;29;3500000;Brighton;Newcastle;15000000
21/22;Thiago Almada;20;20000000;Velez Sarsfield;Atlanta;14550000
21/22;Sandro Tonali;21;27000000;Brescia;AC Milan;14500000
21/22;Musa Barrow;22;20000000;Atalanta BC;Bologna;14340000
21/22;Denzel Dumfries;25;16000000;PSV Eindhoven;Inter;14250000
21/22;Jonathan Ikone;23;22000000;LOSC Lille;Fiorentina;14200000
21/22;Emerson Royal;22;25000000;Real Betis;Barcelona;14000000
21/22;Kieran Trippier;31;18000000;Atletico Madrid;Newcastle;14000000
21/22;Harry Wilson;24;17000000;Liverpool;Fulham;14000000
21/22;Teun Koopmeiners;23;16500000;AZ Alkmaar;Atalanta BC;14000000
21/22;Baptiste Santamaria;26;15000000;SC Freiburg;Rennes;14000000
21/22;Nathan Collins;20;8000000;Stoke City;Burnley;14000000
21/22;Nathan Patterson;20;3000000;Rangers;Everton;14000000
21/22;Sebastiaan Bornauw;22;12000000;1. FC Koln;VfL Wolfsburg;13500000
21/22;Toby Alderweireld;32;11000000;Tottenham;Al-Duhail SC;13000000
21/22;Pol Lirola;24;9000000;Fiorentina;Marseille;13000000
21/22;Matias Vina;23;5000000;Palmeiras;AS Roma;13000000
21/22;Jack Harrison;24;15000000;Man City;Leeds;12800000
21/22;Amadou Onana;19;3000000;Hamburger SV;LOSC Lille;12600000
21/22;David Neres;24;20000000;Ajax;Shakhtar D.;12000000
21/22;Luca Waldschmidt;25;15000000;Benfica;VfL Wolfsburg;12000000
21/22;Boulaye Dia;24;14000000;Stade Reims;Villarreal;12000000
21/22;Lovro Majer;23;13000000;Dinamo Zagreb;Rennes;12000000
21/22;Claudinho;24;11000000;RB Bragantino;Zenit S-Pb;12000000
21/22;Romain Perraud;23;8000000;Stade Brestois;Southampton;12000000
21/22;Jonas Wind;22;7000000;FC Copenhagen;VfL Wolfsburg;12000000
21/22;Marlon;25;6500000;Sassuolo;Shakhtar D.;12000000
21/22;Mohamed Daramy;19;4000000;FC Copenhagen;Ajax;12000000
21/22;Rui Patricio;33;10000000;Wolves;AS Roma;11800000
21/22;Rayan Ait-Nouri;20;18000000;Angers SCO;Wolves;11100000
21/22;Gonzalo Montiel;24;17000000;River Plate;Sevilla FC;11000000
21/22;Christos Tzolis;19;12000000;PAOK Salonika;Norwich;11000000
21/22;Kacper Kozlowski;18;10000000;Pogon Szczecin;Brighton;11000000
21/22;Milot Rashica;25;9000000;Werder Bremen;Norwich;11000000
21/22;Vanderson;20;8500000;Gremio;Monaco;11000000
21/22;Leonardo Balerdi;22;8000000;Bor. Dortmund;Marseille;11000000
21/22;Jean-Philippe Mateta;24;5000000;1.FSV Mainz 05;Crystal Palace;11000000
21/22;Jean Lucas;23;4500000;Olympique Lyon;Monaco;11000000
21/22;Luiz Araujo;25;10000000;LOSC Lille;Atlanta;10910000
21/22;Diego Valdes;27;6000000;Santos Laguna;America;10600000
21/22;Lautaro Valenti;22;4500000;Lanus;Parma;10500000
21/22;Igor Coronado;28;5500000;Sharjah FC;Al-Ittihad Club;10150000
21/22;Denis Zakaria;25;27000000;Bor. M'gladbach;Juventus;10100000
21/22;Antoine Griezmann;30;60000000;Barcelona;Atletico Madrid;10000000
21/22;Dejan Kulusevski;21;30000000;Juventus;Tottenham;10000000
21/22;Andy Delort;29;16000000;Montpellier;OGC Nice;10000000
21/22;Razvan Marin;25;15000000;Ajax;Cagliari Calcio;10000000
21/22;Kayky;18;14000000;Fluminense;Man City U23;10000000
21/22;Imran Louza;22;12000000;FC Nantes;Watford;10000000
21/22;Yoane Wissa;24;10000000;FC Lorient;Brentford;10000000
21/22;Lassina Traore;20;6500000;Ajax;Shakhtar D.;10000000
21/22;Frank Onyeka;23;6000000;FC Midtjylland;Brentford;10000000
21/22;Jens Cajuste;22;5000000;FC Midtjylland;Stade Reims;10000000
21/22;Hannes Wolf;22;8000000;RB Leipzig;Bor. M'gladbach;9500000
21/22;Josh Sargent;21;8000000;Werder Bremen;Norwich;9500000
21/22;Michael Olise;19;15000000;Reading;Crystal Palace;9300000
21/22;Ben Gibson;28;7000000;Burnley;Norwich;9300000
21/22;Galeno;24;12000000;SC Braga;FC Porto;9020000
21/22;Roger Ibanez;22;25000000;Atalanta BC;AS Roma;9000000
21/22;Kamal Sowah;21;3000000;Leicester U21;Club Brugge;9000000
21/22;Daryl Dike;21;10000000;Orlando;West Brom;8630000
21/22;Taiwo Awoniyi;23;5000000;Liverpool;Union Berlin;8550000
21/22;Jean-Clair Todibo;21;12000000;Barcelona;OGC Nice;8500000
21/22;Yacine Adli;21;9000000;G. Bordeaux;AC Milan;8500000
21/22;Marcos Andre;24;3500000;Real Valladolid;Valencia;8500000
21/22;Andreas Cornelius;28;6000000;Atalanta BC;Parma;8400000
21/22;James Rodriguez;30;28000000;Everton;Al-Rayyan SC;8000000
21/22;Khvicha Kvaratskhelia;21;16000000;Rubin Kazan;Dinamo Batumi;8000000
21/22;Lukas Nmecha;22;12000000;Man City;VfL Wolfsburg;8000000
21/22;Abdallah Sima;20;11000000;Slavia Prague;Brighton;8000000
21/22;Talisca;27;10000000;GuaZ FC;Al-Nassr FC;8000000
21/22;Ante Budimir;29;9000000;RCD Mallorca;CA Osasuna;8000000
21/22;Suat Serdar;24;9000000;FC Schalke 04;Hertha BSC;8000000
21/22;Jose Sa;28;7500000;Olympiacos;Wolves;8000000
21/22;Junior Alonso;28;7000000;Atletico-MG;Krasnodar;8000000
21/22;Nuno Tavares;21;7000000;Benfica;Arsenal;8000000
21/22;Aster Vranckx;18;6800000;KV Mechelen;VfL Wolfsburg;8000000
21/22;Shamar Nicholson;24;6500000;RSC Charleroi;Spartak Moscow;8000000
21/22;Rodrigo Muniz;20;3000000;Flamengo;Fulham;8000000
21/22;Marcus Edwards;23;13000000;Vit. Guimaraes;Sporting CP;7750000
21/22;Wylan Cyprien;26;6000000;OGC Nice;Parma;7650000
21/22;Michael;25;7000000;Flamengo;Al-Hilal SFC;7600000
21/22;Alban Lafont;22;10000000;Fiorentina;FC Nantes;7500000
21/22;Ivan Ilic;20;8000000;Man City U23;Hellas Verona;7500000
21/22;Maximilian Philipp;27;7000000;Dynamo Moscow;VfL Wolfsburg;7500000
21/22;Dimitrios Giannoulis;25;7000000;PAOK Salonika;Norwich;7500000
21/22;Amine Adli;21;6000000;Toulouse;B. Leverkusen;7500000
21/22;Lyanco;24;5000000;Torino;Southampton;7500000
21/22;Erik Botheim;21;4000000;Bodo/Glimt;Krasnodar;7500000
21/22;Denis Makarov;23;4000000;Rubin Kazan;Dynamo Moscow;7500000
21/22;Matteo Lovato;21;7000000;Hellas Verona;Atalanta BC;7200000
21/22;Toma Basic;24;9000000;G. Bordeaux;Lazio;7100000
21/22;Marco Richter;23;5000000;FC Augsburg;Hertha BSC;7100000
21/22;Nuno Mendes;19;40000000;Sporting CP;Paris SG;7000000
21/22;Moise Kean;21;35000000;Everton;Juventus;7000000
21/22;Mitchel Bakker;21;10000000;Paris SG;B. Leverkusen;7000000
21/22;Xherdan Shaqiri;30;8000000;Olympique Lyon;Chicago;7000000
21/22;Niklas Dorsch;23;8000000;KAA Gent;FC Augsburg;7000000
21/22;Will Hughes;26;7000000;Watford;Crystal Palace;7000000
21/22;Jesper Lindstrom;21;7000000;Brondby IF;E. Frankfurt;7000000
21/22;Gyrano Kerk;25;6000000;FC Utrecht;Loko Moscow;7000000
21/22;Anders Dreyer;23;6000000;FC Midtjylland;Rubin Kazan;7000000
21/22;Deniz Undav;25;5000000;Union SG;Brighton;7000000
21/22;Manuel Ugarte;20;5000000;Famalicao;Sporting CP;7000000
21/22;Jesus Angulo;23;4000000;Atlas;Tigres UANL;7000000
21/22;Victor Nelsson;22;3500000;FC Copenhagen;Galatasaray;7000000
21/22;Mert Cetin;24;2800000;AS Roma;Hellas Verona;7000000
21/22;Konstantin Maradishvili;21;2500000;CSKA Moscow;Loko Moscow;7000000
21/22;Edon Zhegrova;22;2000000;FC Basel;LOSC Lille;7000000
21/22;Billal Brahimi;21;1200000;Angers SCO;OGC Nice;7000000
21/22;Bryan Reynolds;20;6000000;Dallas;AS Roma;6850000
21/22;Facundo Torres;21;6000000;Penarol;Orlando;6820000
21/22;Martin Payero;22;5000000;Banfield;Middlesbrough;6750000
21/22;Kevin Paredes;18;4000000;D.C. United;VfL Wolfsburg;6680000
21/22;Ismail Jakobs;21;7000000;1. FC Koln;Monaco;6500000
21/22;Robert Andrich;26;7000000;Union Berlin;B. Leverkusen;6500000
21/22;Alexandru Cicaldau;24;6500000;CS U Craiova;Galatasaray;6500000
21/22;Kevin Lasagna;28;6000000;Udinese Calcio;Hellas Verona;6500000
21/22;Sead Haksabanovic;22;5500000;Norrkoping;Rubin Kazan;6500000
21/22;Stanley Nsoki;22;5000000;OGC Nice;Club Brugge;6500000
21/22;Ederson;22;5000000;Corinthians;Salernitana;6500000
21/22;Kelvin Yeboah;21;4000000;Sturm Graz;Genoa;6500000
21/22;Sebastian Driussi;25;7500000;Zenit S-Pb;Austin;6400000
21/22;Andreas Skov Olsen;22;6500000;Bologna;Club Brugge;6400000
21/22;Alan Velasco;19;12000000;Independiente;Dallas;6360000
21/22;Tajon Buchanan;22;8500000;New England;Club Brugge;6360000
21/22;Piero Hincapie;19;8000000;CA Talleres;B. Leverkusen;6350000
21/22;Ake Loba;23;3000000;Monterrey;Nashville;6180000
21/22;Joaquin Correa;27;30000000;Lazio;Inter;6000000
21/22;Trincao;21;22000000;Barcelona;Wolves;6000000
21/22;Noa Lang;22;22000000;Ajax;Club Brugge;6000000
21/22;Patrick de Paula;22;16000000;Palmeiras;Botafogo;6000000
21/22;Thomas Delaney;29;15000000;Bor. Dortmund;Sevilla FC;6000000
21/22;Antonin Barak;26;14000000;Udinese Calcio;Hellas Verona;6000000
21/22;Xherdan Shaqiri;29;12000000;Liverpool;Olympique Lyon;6000000
21/22;Jakub Jankto;25;11000000;Sampdoria;Getafe;6000000
21/22;Marko Arnautovic;32;10000000;SH Port;Bologna;6000000
21/22;Davide Zappacosta;29;8000000;Chelsea;Atalanta BC;6000000
21/22;Joey Veerman;23;7000000;Heerenveen;PSV Eindhoven;6000000
21/22;Gianluca Busio;19;6000000;Kansas City;Venezia;6000000
21/22;Pablo Rosario;24;6000000;PSV Eindhoven;OGC Nice;6000000
21/22;Soualiho Meite;27;5000000;Torino;Benfica;6000000
21/22;Igor;23;5000000;SPAL;Fiorentina;6000000
21/22;Ally Samatta;28;4200000;Aston Villa;Fenerbahce;6000000
21/22;Vitinho;22;3500000;Athletico-PR;Dynamo Kyiv;6000000
21/22;Vinicius Tobias;17;3000000;Internacional;Shakhtar D.;6000000
21/22;Gabriel Gudmundsson;22;1800000;FC Groningen;LOSC Lille;6000000
21/22;Alexis Beka Beka;20;800000;SM Caen;Loko Moscow;6000000
21/22;David Zima;20;7500000;Slavia Prague;Torino;5900000
21/22;Tino Livramento;18;;Chelsea U23;Southampton;5900000
21/22;Kevin Bonifazi;25;7000000;SPAL;Bologna;5850000
21/22;Angus Gunn;25;3000000;Southampton;Norwich;5850000
21/22;Matias Arezo;19;7000000;River Plate;Granada CF;5700000
21/22;Willian Pacho;20;2500000;Independiente;Royal Antwerp;5570000
21/22;Steven Berghuis;29;12000000;Feyenoord;Ajax;5500000
21/22;Ludwig Augustinsson;27;10000000;Werder Bremen;Sevilla FC;5500000
21/22;Marvin Friedrich;26;10000000;Union Berlin;Bor. M'gladbach;5500000
21/22;Mario Lemina;27;10000000;Southampton;OGC Nice;5500000
21/22;Ricardo Esgaio;28;6000000;SC Braga;Sporting CP;5500000
21/22;Ernesto Torregrossa;29;5500000;Brescia;Sampdoria;5500000
21/22;Thomas Henry;26;5000000;OH Leuven;Venezia;5500000
22/23;Enzo Fernandez;22;55000000;Benfica;Chelsea;121000000
22/23;Antony;22;35000000;Ajax;Man Utd;95000000
22/23;Wesley Fofana;21;40000000;Leicester;Chelsea;80400000
22/23;Aurelien Tchouameni;22;60000000;Monaco;Real Madrid;80000000
22/23;Darwin Nunez;23;55000000;Benfica;Liverpool;80000000
22/23;Casemiro;30;40000000;Real Madrid;Man Utd;70650000
22/23;Mykhaylo Mudryk;22;40000000;Shakhtar D.;Chelsea;70000000
22/23;Alexander Isak;22;30000000;Real Sociedad;Newcastle;70000000
22/23;Matthijs de Ligt;22;70000000;Juventus;Bayern Munich;67000000
22/23;Marc Cucurella;24;28000000;Brighton;Chelsea;65300000
22/23;Erling Haaland;21;150000000;Bor. Dortmund;Man City;60000000
22/23;Richarlison;25;48000000;Everton;Tottenham;58000000
22/23;Raphinha;25;45000000;Leeds;Barcelona;58000000
22/23;Lisandro Martinez;24;32000000;Ajax;Man Utd;57370000
22/23;Raheem Sterling;27;70000000;Man City;Chelsea;56200000
22/23;Gabriel Jesus;25;50000000;Man City;Arsenal;52200000
22/23;Jules Kounde;23;60000000;Sevilla FC;Barcelona;50000000
22/23;Cristian Romero;24;48000000;Atalanta BC;Tottenham;50000000
22/23;Kalvin Phillips;26;50000000;Leeds;Man City;49000000
22/23;Anthony Gordon;21;40000000;Everton;Newcastle;45600000
22/23;Robert Lewandowski;33;45000000;Bayern Munich;Barcelona;45000000
22/23;Matheus Nunes;23;35000000;Sporting CP;Wolves;45000000
22/23;Enzo Fernandez;21;15000000;River Plate;Benfica;44250000
22/23;Lucas Paqueta;25;35000000;Olympique Lyon;West Ham;42950000
22/23;Federico Chiesa;24;65000000;Fiorentina;Juventus;42500000
22/23;Cody Gakpo;23;60000000;PSV Eindhoven;Liverpool;42000000
22/23;Vitinha;22;30000000;FC Porto;Paris SG;41500000
22/23;Bremer;25;35000000;Torino;Juventus;41000000
22/23;Benoit Badiashile;21;40000000;Monaco;Chelsea;38000000
22/23;Nuno Mendes;20;40000000;Sporting CP;Paris SG;38000000
22/23;Kalidou Koulibaly;31;35000000;SSC Napoli;Chelsea;38000000
22/23;Sven Botman;22;30000000;LOSC Lille;Newcastle;37000000
22/23;Gianluca Scamacca;23;30000000;Sassuolo;West Ham;36000000
22/23;Fabio Vieira;22;25000000;FC Porto;Arsenal;35000000
22/23;Oleksandr Zinchenko;25;25000000;Man City;Arsenal;35000000
22/23;Noni Madueke;20;15000000;PSV Eindhoven;Chelsea;35000000
22/23;Nayef Aguerd;26;12000000;Rennes;West Ham;35000000
22/23;Amadou Onana;20;10000000;LOSC Lille;Everton;35000000
22/23;Brenden Aaronson;21;25000000;RB Salzburg;Leeds;32840000
22/23;Goncalo Guedes;25;40000000;Valencia;Wolves;32600000
22/23;Sadio Mane;30;70000000;Liverpool;Bayern Munich;32000000
22/23;Charles De Ketelaere;21;30000000;Club Brugge;AC Milan;32000000
22/23;Vitinha;22;15000000;SC Braga;Marseille;32000000
22/23;Steven Bergwijn;24;18000000;Tottenham;Ajax;31250000
22/23;Diego Carlos;29;40000000;Sevilla FC;Aston Villa;31000000
22/23;Sebastien Haller;28;35000000;Ajax;Bor. Dortmund;31000000
22/23;Karim Adeyemi;20;35000000;RB Salzburg;Bor. Dortmund;30000000
22/23;Malo Gusto;19;15000000;Olympique Lyon;Chelsea;30000000
22/23;Morgan Gibbs-White;22;11000000;Wolves;Nottm Forest;29500000
22/23;Yves Bissouma;25;35000000;Brighton;Tottenham;29200000
22/23;Amine Gouiri;22;42000000;OGC Nice;Rennes;28000000
22/23;Georginio Rutter;20;16000000;TSG Hoffenheim;Leeds;28000000
22/23;David Raum;24;20000000;TSG Hoffenheim;RB Leipzig;26000000
22/23;Luis Sinisterra;23;25000000;Feyenoord;Leeds;25000000
22/23;Kamaldeen Sulemana;20;18000000;Rennes;Southampton;25000000
22/23;Jakub Kiwior;22;8000000;Spezia Calcio;Arsenal;25000000
22/23;Nathan Collins;21;10000000;Burnley;Wolves;24300000
22/23;Leandro Trossard;28;30000000;Brighton;Arsenal;24000000
22/23;Joaquin Correa;27;23000000;Lazio;Inter;23600000
22/23;Fabian Ruiz;26;55000000;SSC Napoli;Paris SG;23000000
22/23;Calvin Bassey;22;10000000;Rangers;Ajax;23000000
22/23;Ilya Zabarnyi;20;15000000;Dynamo Kyiv;Bournemouth;22700000
22/23;Cheick Doucoure;22;15000000;Lens;Crystal Palace;22600000
22/23;Dango Ouattara;20;10000000;FC Lorient;Bournemouth;22500000
22/23;Sofiane Diop;22;20000000;Monaco;OGC Nice;22000000
22/23;Jeremie Boga;25;19000000;Sassuolo;Atalanta BC;22000000
22/23;Ederson;23;13000000;Salernitana;Atalanta BC;21400000
22/23;Merih Demiral;24;25000000;Juventus;Atalanta BC;21000000
22/23;Maxwel Cornet;25;15000000;Burnley;West Ham;20700000
22/23;Taiwo Awoniyi;24;20000000;Union Berlin;Nottm Forest;20500000
22/23;David Carmo;22;15000000;SC Braga;FC Porto;20280000
22/23;Timo Werner;26;35000000;Chelsea;RB Leipzig;20000000
22/23;Nico Schlotterbeck;22;33000000;SC Freiburg;Bor. Dortmund;20000000
22/23;Danilo;21;25000000;Palmeiras;Nottm Forest;20000000
22/23;Joao Palhinha;27;25000000;Sporting CP;Fulham;20000000
22/23;Philippe Coutinho;30;20000000;Barcelona;Aston Villa;20000000
22/23;Nahuel Molina;24;20000000;Udinese Calcio;Atletico Madrid;20000000
22/23;Umar Sadiq;25;18000000;UD Almeria;Real Sociedad;20000000
22/23;Arnaud Kalimuendo;20;18000000;Paris SG;Rennes;20000000
22/23;Neco Williams;21;8000000;Liverpool;Nottm Forest;20000000
22/23;Mathys Tel;17;2000000;Rennes;Bayern Munich;20000000
22/23;Arthur Theate;22;15000000;Bologna;Rennes;19000000
22/23;Keane Lewis-Potter;21;12000000;Hull City;Brentford;19000000
22/23;Hassane Kamara;28;4000000;Watford;Udinese Calcio;19000000
22/23;Joao Gomes;21;15000000;Flamengo;Wolves;18700000
22/23;Ryan Gravenberch;20;35000000;Ajax;Bayern Munich;18500000
22/23;Min-jae Kim;25;14000000;Fenerbahce;SSC Napoli;18050000
22/23;Carlos Soler;25;50000000;Valencia;Paris SG;18000000
22/23;Sasa Kalajdzic;25;25000000;VfB Stuttgart;Wolves;18000000
22/23;Destiny Udogie;19;17000000;Udinese Calcio;Tottenham;18000000
22/23;Paul Onuachu;28;15000000;KRC Genk;Southampton;18000000
22/23;Carney Chukwuemeka;18;6000000;Aston Villa;Chelsea;18000000
22/23;Pervis Estupinan;24;20000000;Villarreal;Brighton;17800000
22/23;Issa Diop;25;10000000;West Ham;Fulham;17800000
22/23;Manuel Akanji;27;30000000;Bor. Dortmund;Man City;17500000
22/23;Matt Targett;26;17000000;Aston Villa;Newcastle;17500000
22/23;Rasmus Hojlund;19;4500000;Sturm Graz;Atalanta BC;17200000
22/23;Dwight McNeil;22;18000000;Burnley;Everton;17000000
22/23;Tyler Adams;23;17000000;RB Leipzig;Leeds;17000000
22/23;Roman Yaremchuk;26;15000000;Benfica;Club Brugge;17000000
22/23;Wout Faes;24;10000000;Stade Reims;Leicester;17000000
22/23;Harry Souttar;24;6000000;Stoke City;Leicester;17000000
22/23;Hee-chan Hwang;26;16000000;RB Leipzig;Wolves;16700000
22/23;Jhon Duran;19;6000000;Chicago;Aston Villa;16640000
22/23;Aaron Hickey;20;18000000;Bologna;Brentford;16500000
22/23;Mathias Olivera;24;15000000;Getafe;SSC Napoli;16500000
22/23;Brian Brobbey;20;9000000;RB Leipzig;Ajax;16350000
22/23;Frank Anguissa;26;30000000;Fulham;SSC Napoli;16000000
22/23;Tanguy Nianzou;20;9000000;Bayern Munich;Sevilla FC;16000000
22/23;Emerson;28;14000000;Chelsea;West Ham;15400000
22/23;David Neres;25;20000000;Shakhtar D.;Benfica;15300000
22/23;Nicolo Zaniolo;23;30000000;AS Roma;Galatasaray;15000000
22/23;Leander Dendoncker;27;28000000;Wolves;Aston Villa;15000000
22/23;Renato Sanches;24;28000000;LOSC Lille;Paris SG;15000000
22/23;Mohamed Camara;22;27000000;RB Salzburg;Monaco;15000000
22/23;Gaetan Laborde;28;18000000;Rennes;OGC Nice;15000000
22/23;Gerson;25;18000000;Marseille;Flamengo;15000000
22/23;Marcos Senesi;25;17000000;Feyenoord;Bournemouth;15000000
22/23;Tyrell Malacia;22;17000000;Feyenoord;Man Utd;15000000
22/23;Mikkel Damsgaard;22;15000000;Sampdoria;Brentford;15000000
22/23;Takumi Minamino;27;12000000;Liverpool;Monaco;15000000
22/23;Cesare Casadei;19;1000000;Inter U19;Chelsea U21;15000000
22/23;Emmanuel Dennis;24;14000000;Watford;Nottm Forest;14800000
22/23;Djed Spence;21;8000000;Middlesbrough;Tottenham;14700000
22/23;Dodo;23;20000000;Shakhtar D.;Fiorentina;14500000
22/23;Brais Mendez;25;18000000;Celta de Vigo;Real Sociedad;14000000
22/23;Everton;26;15000000;Benfica;Flamengo;14000000
22/23;Mohamed Bayo;24;12000000;Clermont Foot;LOSC Lille;14000000
22/23;Gavin Bazunu;20;5000000;Man City U21;Southampton;14000000
22/23;Victor Kristiansen;20;4000000;FC Copenhagen;Leicester;14000000
22/23;Carlos Alcaraz;20;8500000;Racing Club;Southampton;13650000
22/23;Alex Moreno;29;20000000;Real Betis;Aston Villa;13500000
22/23;Filip Kostic;29;24000000;E. Frankfurt;Juventus;13000000
22/23;Adam Hlozek;19;20000000;Sparta Prague;B. Leverkusen;13000000
22/23;Orel Mangala;24;15000000;VfB Stuttgart;Nottm Forest;13000000
22/23;Rasmus Kristensen;24;15000000;RB Salzburg;Leeds;13000000
22/23;Fredrik Aursnes;26;12000000;Feyenoord;Benfica;13000000
22/23;Lucas Gourna-Douath;18;10000000;Saint-Etienne;RB Salzburg;13000000
22/23;Sergio Gomez;21;10000000;RSC Anderlecht;Man City;13000000
22/23;Mattia Viti;20;7000000;FC Empoli;OGC Nice;13000000
22/23;Sekou Mara;20;3000000;G. Bordeaux;Southampton;13000000
22/23;Breel Embolo;25;15000000;Bor. M'gladbach;Monaco;12500000
22/23;Andrey Santos;18;10000000;Vasco da Gama;Chelsea;12500000
22/23;Jorgen Strand Larsen;22;6000000;FC Groningen;Celta de Vigo;12400000
22/23;Romeo Lavia;18;2000000;Man City U21;Southampton;12300000
